Years,United States
1950,152271417
1951,154877889
1952,157552740
1953,160184192
1954,163025854
1955,165931202
1956,168903031
1957,171984130
1958,174881904
1959,177829628
1960,180671158
1961,183691481
1962,186537737
1963,189241798
1964,191888791
1965,194302963
1966,196560338
1967,198712056
1968,200706052
1969,202676946
1970,205052174
1971,207660677
1972,209896021
1973,211908788
1974,213853928
1975,215973199
1976,218035164
1977,220239425
1978,222584545
1979,225055487
1980,227224681
1981,229465714
1982,231664458
1983,233791994
1984,235824902
1985,237923795
1986,240132887
1987,242288918
1988,244498982
1989,246819230
1990,249622814
1991,252980941
1992,256514224
1993,259918588
1994,263125821
1995,266278393
1996,269394284
1997,272646925
1998,275854104
1999,279040168
2000,282162411
2001,284968955
2002,287625193
2003,290107933
2004,292805298
2005,295516599
2006,298379912
2007,301231207
2008,304093966
2009,306771529
2010,309327143
2011,311583481
2012,313877662
2013,316059947
2014,318386329
2015,320738994
2016,323071755
2017,325122128
2018,326838199
2019,328329953
2020,331526933
2021,332048977
2022,333271411
2023,334914895
2024,336482168
2025,338016259
2026,339513045
2027,340970496
2028,342384777
2029,343753791
2030,345073565
2031,346339264
2032,347545098
2033,348701812
2034,349807647
2035,350861084
2036,351860944
2037,352806047
2038,353695674
2039,354529853
2040,355309062
2041,356033543
2042,356705435
2043,357327409
2044,357903394
2045,358437973
2046,358935938
2047,359400325
2048,359835763
2049,360246998
2050,360638734
2051,361015337
2052,361380913
2053,361739492
2054,362094696
2055,362449657
2056,362807020
2057,363168681
2058,363535845
2059,363908874
2060,364287256
2061,364670485
2062,365056681
2063,365443472
2064,365828051
2065,366207441
2066,366578659
2067,366938404
2068,367283143
2069,367609110
2070,367912529
2071,368190295
2072,368440720
2073,368662821
2074,368855708
2075,369018330
2076,369150061
2077,369250247
2078,369318787
2079,369356023
2080,369362531
2081,369339625
2082,369289076
2083,369213005
2084,369113662
2085,368992800
2086,368852152
2087,368693322
2088,368517633
2089,368326277
2090,368120236
2091,367900847
2092,367669754
2093,367428759
2094,367179421
2095,366923024
2096,366660556
2097,366392630
2098,366119541
2099,365841404
2100,365558109
